u1	y1
0.01000	660.43522	
0.01000	645.64531	
0.01000	661.31836	
0.01000	673.49116	
0.01000	693.38056	
0.01000	685.76714	
0.01000	682.76453	
0.01000	727.48588	
0.01000	727.98689	
0.01000	720.91936	
0.01000	695.28089	
0.01000	702.22216	
0.01000	713.44300	
0.01000	723.30132	
0.01000	719.91368	
0.01000	702.60202	
0.01000	681.46647	
0.01000	670.72547	
0.01000	636.67614	
0.01000	624.90861	
0.01000	646.34917	
0.01000	646.73582	
0.01000	667.23130	
0.01000	649.19792	
0.01000	695.71282	
0.01000	700.56886	
0.01000	694.67769	
0.01000	678.71338	
0.01000	695.79294	
0.01000	696.72034	
0.01000	700.10298	
0.01000	720.98150	
0.01000	704.10410	
0.01000	676.12171	
0.01000	673.47867	
0.01000	656.79600	
0.01000	639.15692	
0.01000	647.56472	
0.01000	622.79911	
0.01000	613.44874	
0.01000	633.38066	
0.01000	650.82389	
0.01000	644.40535	
0.01000	628.72444	
0.01000	637.94313	
0.01000	651.38633	
0.01000	674.52390	
0.01000	683.62395	
0.01000	704.76872	
0.01000	719.25110	
0.01000	719.26586	
0.01000	748.40450	
0.01000	738.88396	
0.01000	742.29850	
0.01000	747.40771	
0.01000	766.92279	
0.01000	762.67672	
0.01000	765.96567	
0.01000	801.16461	
0.01000	821.71163	
0.01000	847.07675	
0.01000	828.30602	
0.01000	858.14198	
0.01000	848.56422	
0.01000	881.72432	
0.01000	874.25244	
0.01000	909.53543	
0.01000	927.97732	
0.01000	934.49526	
0.01000	924.79144	
0.01000	936.43604	
0.01000	927.15193	
0.01000	936.65035	
0.01000	940.74335	
0.01000	954.26966	
0.01000	965.63551	
0.01000	959.79110	
0.01000	958.34405	
0.01000	965.39453	
0.01000	978.50406	
0.01000	998.92359	
0.01000	995.22172	
0.01000	984.46397	
0.01000	975.98590	
0.01000	974.35277	
0.01000	1028.93181	
0.01000	1001.22496	
0.01000	1020.43052	
0.01000	1031.56892	
0.01000	996.00305	
0.01000	1011.70386	
0.01000	1025.42231	
0.01000	1065.22637	
0.01000	1078.05232	
0.01000	1082.38536	
0.01000	1075.42581	
0.01000	1042.60967	
0.01000	1042.49217	
0.01000	1063.29859	
0.01000	1065.36348	
0.01000	1087.75826	
0.01000	1095.77549	
0.01000	1097.60498	
